train_sample_size,N,n_components,ro,linreg,pcr,pls
200.0,100.0,100.0,0.01,0.9999692848713861,0.9999692848713861,0.999969290564928
200.0,100.0,50.0,0.01,0.9999692848713861,0.5834596415979042,0.9999692848711257
200.0,100.0,33.0,0.01,0.9999692848713861,0.34264365756392223,0.9999692853620314
200.0,100.0,20.0,0.01,0.9999692848713861,0.20480310685018588,0.9999690781033738
200.0,100.0,10.0,0.01,0.9999692848713861,0.0945243044907792,0.9986872377716166
200.0,100.0,1.0,0.01,0.9999692848713861,0.03632996032722535,0.6243127161134834
100.0,100.0,100.0,0.01,0.9908631023980419,0.9979852973784286,0.9935594352854269
100.0,100.0,50.0,0.01,0.9908631023980419,0.5638261529432993,0.9854499699427471
100.0,100.0,33.0,0.01,0.9908631023980419,0.39491879516396955,0.9823137067693833
100.0,100.0,20.0,0.01,0.9908631023980419,0.21925339247422637,0.9734483216677196
100.0,100.0,10.0,0.01,0.9908631023980419,0.14246523719885418,0.9298783723022551
100.0,100.0,1.0,0.01,0.9908631023980419,-0.004463007036618949,0.5098643935900076
1000.0,100.0,100.0,0.1,0.9999844527314339,0.9999844527314339,0.9999844320928554
1000.0,100.0,50.0,0.1,0.9999844527314339,0.5184916095942905,0.999984452731433
1000.0,100.0,33.0,0.1,0.9999844527314339,0.2735628389353596,0.9999844527314339
1000.0,100.0,20.0,0.1,0.9999844527314339,0.2317302231010273,0.9999844527314302
1000.0,100.0,10.0,0.1,0.9999844527314339,0.06961351750516309,0.9999844530810559
1000.0,100.0,1.0,0.1,0.9999844527314339,0.023289992462757647,0.4086673411101608
500.0,100.0,100.0,0.1,0.9999824387007175,0.9999824387007175,0.999982091011286
500.0,100.0,50.0,0.1,0.9999824387007175,0.46469294345172063,0.9999824387007175
500.0,100.0,33.0,0.1,0.9999824387007175,0.30504242186189634,0.9999824387007175
500.0,100.0,20.0,0.1,0.9999824387007175,0.20273851972900092,0.999982438771803
500.0,100.0,10.0,0.1,0.9999824387007175,0.055864993814324526,0.9999822652593575
500.0,100.0,1.0,0.1,0.9999824387007175,0.020103283723499232,0.5180694599866134
300.0,100.0,100.0,0.1,0.9999800178289067,0.9999800178289067,0.9999791175117092
300.0,100.0,50.0,0.1,0.9999800178289067,0.49084200792565147,0.9999800178289067
300.0,100.0,33.0,0.1,0.9999800178289067,0.38220481110209237,0.9999800178285537
300.0,100.0,20.0,0.1,0.9999800178289067,0.3148302327175081,0.9999800155027977
300.0,100.0,10.0,0.1,0.9999800178289067,0.2048087822379041,0.9999696243593404
300.0,100.0,1.0,0.1,0.9999800178289067,0.011969773751342672,0.5284538382515813
200.0,100.0,100.0,0.1,0.9999739053833853,0.9999739053833853,0.9999739061785625
200.0,100.0,50.0,0.1,0.9999739053833853,0.6069990032479728,0.9999739053841767
200.0,100.0,33.0,0.1,0.9999739053833853,0.40646487460792824,0.9999739044828098
200.0,100.0,20.0,0.1,0.9999739053833853,0.3057337242421583,0.9999736369704081
200.0,100.0,10.0,0.1,0.9999739053833853,0.1985966187720667,0.9994271028659321
200.0,100.0,1.0,0.1,0.9999739053833853,0.0008282503048958612,0.643089887166731
100.0,100.0,100.0,0.1,0.9925134924593009,0.9936146921048263,0.9936438208168457
100.0,100.0,50.0,0.1,0.9925134924593009,0.5668840542983355,0.9907535925422506
100.0,100.0,33.0,0.1,0.9925134924593009,0.4594779955898748,0.9846522373076553
100.0,100.0,20.0,0.1,0.9925134924593009,0.41365800621999793,0.9662622253509917
100.0,100.0,10.0,0.1,0.9925134924593009,0.21652714519158833,0.9110406074262547
100.0,100.0,1.0,0.1,0.9925134924593009,0.012698477720270995,0.5497394832597373
1000.0,100.0,100.0,0.2,0.9999829621304294,0.9999829621304294,0.9999830242812654
1000.0,100.0,50.0,0.2,0.9999829621304294,0.4864777783497626,0.99998296213043
1000.0,100.0,33.0,0.2,0.9999829621304294,0.31105440743527923,0.9999829621304294
1000.0,100.0,20.0,0.2,0.9999829621304294,0.19055279506244405,0.999982962130451
1000.0,100.0,10.0,0.2,0.9999829621304294,0.0665146565240371,0.9999829644504906
1000.0,100.0,1.0,0.2,0.9999829621304294,0.03290547488828233,0.14601860941483935
500.0,100.0,100.0,0.2,0.9999803954409922,0.9999803954409922,0.9999799273033629
500.0,100.0,50.0,0.2,0.9999803954409922,0.598988985190289,0.9999803954409922
500.0,100.0,33.0,0.2,0.9999803954409922,0.32164449806241413,0.9999803954409922
500.0,100.0,20.0,0.2,0.9999803954409922,0.246720136123181,0.9999803954885296
500.0,100.0,10.0,0.2,0.9999803954409922,0.07600835253135863,0.9999800237487853
500.0,100.0,1.0,0.2,0.9999803954409922,0.024025941394900996,0.29825795250587794
300.0,100.0,100.0,0.2,0.9999775023538906,0.9999775023538906,0.9999770217114352
300.0,100.0,50.0,0.2,0.9999775023538906,0.6073898665378895,0.9999775023538906
300.0,100.0,33.0,0.2,0.9999775023538906,0.4050409400961087,0.9999775023550337
