M,N,n,rho,model,R2,MSE
1500,500,50,0.5,linreg,0.9983924954935085,1.5008908042808367
1500,500,50,0.5,pcr,0.7653564365395413,219.0814179738394
1500,500,50,0.5,pls,0.9983924954935093,1.5008908042801214
1500,500,125,0.5,linreg,0.9983924954935085,1.5008908042808367
1500,500,125,0.5,pcr,0.8070848043953105,180.12057939487514
1500,500,125,0.5,pls,0.9983924957523663,1.5008905625911442
1500,500,250,0.5,linreg,0.9983924954935085,1.5008908042808367
1500,500,250,0.5,pcr,0.8784845724000083,113.45622181871528
1500,500,250,0.5,pls,0.9983822848695766,1.5104242342050331
1000,500,5,0.5,linreg,0.9979183642945677,1.944394421542404
1000,500,5,0.5,pcr,0.7494045755522095,234.07378346210538
1000,500,5,0.5,pls,0.9881064806551195,11.109385089016008
1000,500,50,0.5,linreg,0.9979183642945677,1.944394421542404
1000,500,50,0.5,pcr,0.7736251399364916,211.4500697390418
1000,500,50,0.5,pls,0.9979183643239837,1.9443943940658546
1000,500,125,0.5,linreg,0.9979183642945677,1.944394421542404
1000,500,125,0.5,pcr,0.8126147016721428,175.03107186186935
1000,500,125,0.5,pls,0.9979183642945676,1.9443944215425426
1000,500,250,0.5,linreg,0.9979183642945677,1.944394421542404
1000,500,250,0.5,pcr,0.8846891940462254,107.70841759438473
1000,500,250,0.5,pls,0.9979173722242931,1.9453210850804739
500,500,5,0.5,linreg,0.41648532417970496,545.122685132501
500,500,5,0.5,pcr,0.7442655115015689,238.9085944672701
500,500,5,0.5,pls,0.9464345971412754,50.041099986908804
500,500,50,0.5,linreg,0.41648532417970496,545.122685132501
500,500,50,0.5,pcr,0.7691269517802731,215.68289742385534
500,500,50,0.5,pls,0.9798611261549489,18.81384897565097
500,500,125,0.5,linreg,0.41648532417970496,545.122685132501
500,500,125,0.5,pcr,0.8149066697006742,172.91522800355267
500,500,125,0.5,pls,0.9764270750962425,22.02195874833589
500,500,250,0.5,linreg,0.41648532417970496,545.122685132501
500,500,250,0.5,pcr,0.8789268718216073,113.1071958682369
500,500,250,0.5,pls,0.820118168544921,168.0466165336747
5000,500,5,0.9,linreg,0.9978079264082574,1.1231130717423394
5000,500,5,0.9,pcr,0.9030166253353867,49.68961636955139
5000,500,5,0.9,pls,0.997807031084239,1.1235717927051834
5000,500,50,0.9,linreg,0.9978079264082574,1.1231130717423394
5000,500,50,0.9,pcr,0.9108896470109651,45.65585874788147
5000,500,50,0.9,pls,0.9978079264082574,1.1231130717423348
5000,500,125,0.9,linreg,0.9978079264082574,1.1231130717423394
5000,500,125,0.9,pcr,0.924982299233156,38.4354615924742
5000,500,125,0.9,pls,0.9978093181965237,1.1223999863783893
5000,500,250,0.9,linreg,0.9978079264082574,1.1231130717423394
5000,500,250,0.9,pcr,0.9477688103982687,26.760749281106516
5000,500,250,0.9,pls,0.9978005715738798,1.126881335116873
2500,500,5,0.9,linreg,0.9975104745840023,1.2752457524141119
2500,500,5,0.9,pcr,0.9034358646861779,49.46444916897735
2500,500,5,0.9,pls,0.9973374064574226,1.3638989518877203
2500,500,50,0.9,linreg,0.9975104745840023,1.2752457524141119
2500,500,50,0.9,pcr,0.9105318164188654,45.82958677781798
2500,500,50,0.9,pls,0.9975104745840023,1.275245752414115
2500,500,125,0.9,linreg,0.9975104745840023,1.2752457524141119
2500,500,125,0.9,pcr,0.9262396656394333,37.783327089377266
2500,500,125,0.9,pls,0.9975123818745025,1.2742687533068477
