M,N,n,rho,model,R2,MSE
1000,100,25,0.01,pls,0.9995637710855096,1.1228303740263588
1000,100,50,0.01,linreg,0.9995637710855095,1.1228303740263879
1000,100,50,0.01,pcr,0.4815310261926984,1334.511978558723
1000,100,50,0.01,pls,0.9995637710855095,1.1228303740263947
500,100,1,0.01,linreg,0.9995014527749131,1.2829171157671568
500,100,1,0.01,pcr,-0.0010695510330891445,2576.0634027596875
500,100,1,0.01,pls,0.8449594509945542,398.9675680621092
500,100,10,0.01,linreg,0.9995014527749131,1.2829171157671568
500,100,10,0.01,pcr,0.06886480267608808,2396.1005530256757
500,100,10,0.01,pls,0.999502778884347,1.2795046236209928
500,100,25,0.01,linreg,0.9995014527749131,1.2829171157671568
500,100,25,0.01,pcr,0.23215155373474805,1975.9129415618625
500,100,25,0.01,pls,0.9995014527771217,1.28291711008396
500,100,50,0.01,linreg,0.9995014527749131,1.2829171157671568
500,100,50,0.01,pcr,0.46288179704656895,1382.1722418352222
500,100,50,0.01,pls,0.9995014527749131,1.282917115767155
300,100,1,0.01,linreg,0.9993725517479101,1.6147441565434708
300,100,1,0.01,pcr,-1.2973141036543012e-05,2573.543076211621
300,100,1,0.01,pls,0.7535652882332396,634.2021186120221
300,100,10,0.01,linreg,0.9993725517479101,1.6147441565434708
300,100,10,0.01,pcr,0.05294115624076601,2437.26511113753
300,100,10,0.01,pls,0.9993574221086761,1.6536804297138372
300,100,25,0.01,linreg,0.9993725517479101,1.6147441565434708
300,100,25,0.01,pcr,0.24046477387245113,1954.671264113392
300,100,25,0.01,pls,0.9993725514873838,1.614744827010458
300,100,50,0.01,linreg,0.9993725517479101,1.6147441565434708
300,100,50,0.01,pcr,0.4895351637754578,1313.6862022787898
300,100,50,0.01,pls,0.9993725517479101,1.6147441565434413
200,100,1,0.01,linreg,0.999161944120055,2.1562775681589166
200,100,1,0.01,pcr,-0.0005823048917235063,2574.450261331282
200,100,1,0.01,pls,0.6629361960473578,867.2489948391587
200,100,10,0.01,linreg,0.999161944120055,2.1562775681589166
200,100,10,0.01,pcr,0.07895676536496476,2369.800049942088
200,100,10,0.01,pls,0.9985941433317453,3.6172017527075404
200,100,25,0.01,linreg,0.999161944120055,2.1562775681589166
200,100,25,0.01,pcr,0.26398828021240794,1893.7228402765911
200,100,25,0.01,pls,0.999161552109169,2.1572861933593805
200,100,50,0.01,linreg,0.999161944120055,2.1562775681589166
200,100,50,0.01,pcr,0.5698492041135754,1106.757358657767
200,100,50,0.01,pls,0.9991619441197499,2.15627756894376
100,100,1,0.01,linreg,-0.6646140995387189,4282.995095280966
100,100,1,0.01,pcr,-0.003779933823633952,2582.69140847685
100,100,1,0.01,pls,0.4954760427270323,1298.1228712712839
100,100,10,0.01,linreg,-0.6646140995387189,4282.995095280966
100,100,10,0.01,pcr,0.05759729430216487,2424.769901565678
100,100,10,0.01,pls,0.8368316449661004,419.82659194639376
100,100,25,0.01,linreg,-0.6646140995387189,4282.995095280966
100,100,25,0.01,pcr,0.3141048769601482,1764.7846721176288
100,100,25,0.01,pls,0.8877448733053241,288.8285982839334
100,100,50,0.01,linreg,-0.6646140995387189,4282.995095280966
100,100,50,0.01,pcr,0.5122901452267499,1254.8607611174662
100,100,50,0.01,pls,0.9263945023164691,189.38442588683873
1000,100,1,0.1,linreg,0.9995036915362071,1.1066084203875373
1000,100,1,0.1,pcr,-0.00013045690223711937,2229.9695972058244
1000,100,1,0.1,pls,0.9313761250338053,153.0091937116426
1000,100,10,0.1,linreg,0.9995036915362071,1.1066084203875373
1000,100,10,0.1,pcr,0.1256994593783356,1949.4093105070865
1000,100,10,0.1,pls,0.9995037202922025,1.1065443037566352
1000,100,25,0.1,linreg,0.9995036915362071,1.1066084203875373
1000,100,25,0.1,pcr,0.37862626019957435,1385.4638049408775
1000,100,25,0.1,pls,0.9995036915362068,1.1066084203884292
1000,100,50,0.1,linreg,0.9995036915362071,1.1066084203875373
1000,100,50,0.1,pcr,0.7669399373835841,519.6490621505944
1000,100,50,0.1,pls,0.999503691536207,1.1066084203877822
500,100,1,0.1,linreg,0.9994096784635571,1.316592052972919
