K,n_K_ratio,n,N_K_ratio,M,rho,model,R2,MSE
200,0.2,40,2,400,0.25,pcr,0.225759486180092,3835.524139309835
200,0.2,40,2,400,0.25,pls,0.999552488080207,2.2169374249437483
200,0.5,100,2,400,0.25,linreg,0.9995524884423178,2.2169356310760993
200,0.5,100,2,400,0.25,pcr,0.5368096490054444,2294.6070899465403
200,0.5,100,2,400,0.25,pls,0.9995524884423179,2.2169356310759545
200,0.8,160,2,400,0.25,linreg,0.9995524884423178,2.2169356310760993
200,0.8,160,2,400,0.25,pcr,0.7808158237001154,1085.8204707025932
200,0.8,160,2,400,0.25,pls,0.9995477405413049,2.2404563441119976
200,0.01,2,1,200,0.25,linreg,0.84819547383929,751.9158811227511
200,0.01,2,1,200,0.25,pcr,0.10341926002516388,4440.9301497516935
200,0.01,2,1,200,0.25,pls,0.5419335545184194,2268.887784033634
200,0.1,20,1,200,0.25,linreg,0.84819547383929,751.9158811227511
200,0.1,20,1,200,0.25,pcr,0.1485485648453977,4217.396360235832
200,0.1,20,1,200,0.25,pls,0.9499336359659969,247.98795648151977
200,0.2,40,1,200,0.25,linreg,0.84819547383929,751.9158811227511
200,0.2,40,1,200,0.25,pcr,0.2147910831945563,3889.2849210580116
200,0.2,40,1,200,0.25,pls,0.9817762041267835,90.26582986665444
200,0.5,100,1,200,0.25,linreg,0.84819547383929,751.9158811227511
200,0.5,100,1,200,0.25,pcr,0.5605426417824166,2176.713534682298
200,0.5,100,1,200,0.25,pls,0.9896459005427403,51.28576870228445
200,0.8,160,1,200,0.25,linreg,0.84819547383929,751.9158811227511
200,0.8,160,1,200,0.25,pcr,0.804041346391035,970.6194368409315
200,0.8,160,1,200,0.25,pls,0.9613953575943721,191.21593040727979
200,0.01,2,10,2000,0.5,linreg,0.999510481994003,1.116449853212982
200,0.01,2,10,2000,0.5,pcr,0.03596703101756804,2198.6820781410374
200,0.01,2,10,2000,0.5,pls,0.8991782793496134,229.9453622580276
200,0.1,20,10,2000,0.5,linreg,0.999510481994003,1.116449853212982
200,0.1,20,10,2000,0.5,pcr,0.13020659960860337,1983.7487126031742
200,0.1,20,10,2000,0.5,pls,0.999510481993688,1.1164498539314625
200,0.2,40,10,2000,0.5,linreg,0.999510481994003,1.116449853212982
200,0.2,40,10,2000,0.5,pcr,0.1830433357278256,1863.243306138265
200,0.2,40,10,2000,0.5,pls,0.999510481994003,1.1164498532129674
200,0.5,100,10,2000,0.5,linreg,0.999510481994003,1.116449853212982
200,0.5,100,10,2000,0.5,pcr,0.4341644085728841,1290.5083270734135
200,0.5,100,10,2000,0.5,pls,0.9995104964537818,1.1164168746143235
200,0.8,160,10,2000,0.5,linreg,0.999510481994003,1.116449853212982
200,0.8,160,10,2000,0.5,pcr,0.7986717622531007,459.17183581912565
200,0.8,160,10,2000,0.5,pls,0.9995109360967472,1.1154141753912963
200,0.01,2,5,1000,0.5,linreg,0.9994558052430763,1.241134002956434
200,0.01,2,5,1000,0.5,pcr,0.02553561890710143,2222.4412540856797
200,0.01,2,5,1000,0.5,pls,0.8251519041651507,398.7725246005173
200,0.1,20,5,1000,0.5,linreg,0.9994558052430763,1.241134002956434
200,0.1,20,5,1000,0.5,pcr,0.08761598371848822,2080.855818535151
200,0.1,20,5,1000,0.5,pls,0.9994558052293098,1.2411340343536013
200,0.2,40,5,1000,0.5,linreg,0.9994558052430763,1.241134002956434
200,0.2,40,5,1000,0.5,pcr,0.17965832024744022,1870.9367185728104
200,0.2,40,5,1000,0.5,pls,0.9994558052430763,1.2411340029564693
200,0.5,100,5,1000,0.5,linreg,0.9994558052430763,1.241134002956434
200,0.5,100,5,1000,0.5,pcr,0.5141746207663271,1108.012140864287
200,0.5,100,5,1000,0.5,pls,0.9994532245432097,1.2470197530763456
200,0.8,160,5,1000,0.5,linreg,0.9994558052430763,1.241134002956434
200,0.8,160,5,1000,0.5,pcr,0.7368637049609608,600.1296393062012
200,0.8,160,5,1000,0.5,pls,0.9994530783172562,1.247353247658554
200,0.01,2,3,600,0.5,linreg,0.999385629808295,1.4012396689039055
200,0.01,2,3,600,0.5,pcr,0.02613003608630471,2221.1774663136043
200,0.01,2,3,600,0.5,pls,0.7212602225517316,635.7424867538375
200,0.1,20,3,600,0.5,linreg,0.999385629808295,1.4012396689039055
200,0.1,20,3,600,0.5,pcr,0.10277548209398857,2046.3665122066857
